gid,jud_code,jud_id,jud_lbl,jud_name,colsen,nume,prezenta,rebel,id_partid,partid,abv_partid
64,DJ,17.0000000000,DOLJ,JUDE?ÜUL DOLJ,4,Mario-Ovidiu Oprea,82.6700000000,2.7300000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
65,DJ,17.0000000000,DOLJ,JUDE?ÜUL DOLJ,5,Mircea Geoan?â,58.1400000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
66,GJ,20.0000000000,GORJ,JUDE?ÜUL GORJ,1,Ion Ru?Öet,95.6600000000,11.4800000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
67,GJ,20.0000000000,GORJ,JUDE?ÜUL GORJ,2,Toni Grebl?â,73.0800000000,9.6900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
68,GL,18.0000000000,GALA?ÜI,JUDE?ÜUL GALA?ÜI,1,Laurentiu Chirvasuta,68.5000000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
69,GL,18.0000000000,GALA?ÜI,JUDE?ÜUL GALA?ÜI,2,Gheorghe Saghian,51.5500000000,1.4900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
70,GL,18.0000000000,GALA?ÜI,JUDE?ÜUL GALA?ÜI,3,Paul Ichim,70.4100000000,2.0300000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
71,GL,18.0000000000,GALA?ÜI,JUDE?ÜUL GALA?ÜI,4,Marius Gerard Necula,48.2600000000,2.8500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
72,GR,19.0000000000,GIURGIU,JUDE?ÜUL GIURGIU,1,Cezar Mircea Magureanu,61.1500000000,0.9100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
73,GR,19.0000000000,GIURGIU,JUDE?ÜUL GIURGIU,2,Vasile Mustatea,65.2500000000,3.7900000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
74,HD,22.0000000000,HUNEDOARA,JUDE?ÜUL HUNEDOARA,1,Vasile Cosmin Nicula,50.9300000000,2.7600000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
75,HD,22.0000000000,HUNEDOARA,JUDE?ÜUL HUNEDOARA,2,Dorin P?âran,86.8300000000,1.7700000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
76,HD,22.0000000000,HUNEDOARA,JUDE?ÜUL HUNEDOARA,3,Dan Radu Ru?ƒanu,28.2100000000,15.7600000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
77,HR,21.0000000000,HARGHITA,JUDE?ÜUL HARGHITA,1,L?íszl?? Gyerk??,74.2700000000,0.9700000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
